beta,gamma,Az,Az_over_gamma,C_sail,C_sail_eq,dC_from_eq,T_nd,T_days,x0,x_eq,dx_over_gamma,vy0,nu_max,lambda_max,delta,stable,is_fold,seeded_by
0.005000,0.0105621442,0.0005281072,0.05000000,2.9907163602,2.9907869617,-7.0601529063e-05,3.2620328983,189.626353,0.988055579510,0.989434852751,0.13058648,0.009176909472,725.056431,1450.112172,0.11337149,0,0,bootstrap
0.005000,0.0105621442,0.0007352675,0.06961347,2.9907149527,2.9907869617,-7.2008969231e-05,3.2619888646,189.623793,0.988056714049,0.989434852751,0.13047906,0.009212515179,720.396792,1440.792890,0.11398940,0,0,bootstrap
0.005000,0.0105621442,0.0010001050,0.09468769,2.9907124887,2.9907869617,-7.4472993027e-05,3.2619097424,189.619194,0.988058782984,0.989434852751,0.13028318,0.009274353073,712.296521,1424.592340,0.11506797,0,0,bootstrap
0.005000,0.0105621442,0.0012586245,0.11916373,2.9907093717,2.9907869617,-7.7590044612e-05,3.2618058935,189.613157,0.988061547958,0.989434852751,0.13002140,0.009351691641,702.153193,1404.305674,0.11642675,0,0,bootstrap
0.005000,0.0105621442,0.0015099725,0.14296080,2.9907056764,2.9907869617,-8.1285297359e-05,3.2616772519,189.605679,0.988065033831,0.989434852751,0.12969137,0.009442127464,690.277256,1380.553787,0.11802982,0,0,bootstrap
0.005000,0.0105621442,0.0017536035,0.16602723,2.9907014795,2.9907869617,-8.5482194169e-05,3.2615237218,189.596754,0.988069258126,0.989434852751,0.12929142,0.009543250530,676.983144,1353.965550,0.11984093,0,0,bootstrap
0.005000,0.0105621442,0.0019891897,0.18833200,2.9906968560,2.9907869617,-9.0105712578e-05,3.2613452292,189.586378,0.988074227177,0.989434852751,0.12882096,0.009652765875,662.573852,1325.146949,0.12182515,0,0,bootstrap
0.005000,0.0105621442,0.0022165441,0.20985740,2.9906918777,2.9907869617,-9.5084059679e-05,3.2611417880,189.574552,0.988079933701,0.989434852751,0.12828068,0.009768559060,647.332105,1294.663438,0.12394974,0,0,bootstrap
0.005000,0.0105621442,0.0024355662,0.23059392,2.9906866123,2.9907869617,-1.0034945421e-04,3.2609135673,189.561285,0.988086355808,0.989434852751,0.12767265,0.009888725349,631.515816,1263.030841,0.12618453,0,0,bootstrap
0.005000,0.0105621442,0.0026462115,0.25053734,2.9906811232,2.9907869617,-1.0583853098e-04,3.2606609459,189.546600,0.988093457358,0.989434852751,0.12700029,0.010011579304,615.355850,1230.710888,0.12850201,0,0,bootstrap
0.005000,0.0105621442,0.0028484793,0.26968759,2.9906754690,2.9907869617,-1.1149268055e-04,3.2603845457,189.530532,0.988101189504,0.989434852751,0.12626823,0.010135655263,599.054924,1198.109013,0.13087741,0,0,bootstrap
0.005000,0.0105621442,0.0030424117,0.28804868,2.9906697033,2.9907869617,-1.1725843365e-04,3.2600852376,189.513133,0.988109493179,0.989434852751,0.12548206,0.010259703517,582.787157,1165.573455,0.13328868,0,0,bootstrap
0.005000,0.0105621442,0.0032280979,0.30562903,2.9906638738,2.9907869617,-1.2308786327e-04,3.2597641219,189.494466,0.988118302198,0.989434852751,0.12464804,0.010382683425,566.698208,1133.395534,0.13571655,0,0,bootstrap
0.005000,0.0105621442,0.0034056774,0.32244186,2.9906580228,2.9907869617,-1.2893891475e-04,3.2594224873,189.474606,0.988127546581,0.989434852751,0.12377280,0.010503753116,550.906107,1101.811306,0.13814454,0,0,bootstrap
0.005000,0.0105621442,0.0035753418,0.33850530,2.9906521861,2.9907869617,-1.3477557351e-04,3.2590617567,189.453637,0.988137155737,0.989434852751,0.12286303,0.010622255314,535.502832,1071.004731,0.14055884,0,0,bootstrap
0.005000,0.0105621442,0.0037373313,0.35384210,2.9906463939,2.9907869617,-1.4056781684e-04,3.2586834292,189.431644,0.988147061184,0.989434852751,0.12192520,0.010737699445,520.556573,1041.112185,0.14294825,0,0,bootstrap
0.005000,0.0105621442,0.0039369497,0.37274152,2.9906389683,2.9907869617,-1.4799342396e-04,3.2581676908,189.401663,0.988160278761,0.989434852751,0.12067379,0.010882680966,501.881829,1003.762662,0.14600362,0,0,bootstrap
0.005000,0.0105621442,0.0041247702,0.39052394,2.9906316989,2.9907869617,-1.5526284010e-04,3.2576280398,189.370293,0.988173762074,0.989434852751,0.11939722,0.011021465324,484.118568,968.236102,0.14898803,0,0,bootstrap
0.005000,0.0105621442,0.0043015541,0.40726144,2.9906246131,2.9907869617,-1.6234859882e-04,3.2570675303,189.337710,0.988187402960,0.989434852751,0.11810573,0.011153873673,467.287531,934.573992,0.15189244,0,0,bootstrap
0.005000,0.0105621442,0.0045162013,0.42758376,2.9906157015,2.9907869617,-1.7126017444e-04,3.2563120615,189.293793,0.988205230332,0.989434852751,0.11641788,0.011316553831,446.781873,893.562628,0.15554134,0,0,bootstrap
0.005000,0.0105621442,0.0047152063,0.44642510,2.9906071466,2.9907869617,-1.7981508144e-04,3.2555313249,189.248408,0.988223021206,0.989434852751,0.11473348,0.011468870173,427.774209,855.547250,0.15904276,0,0,bootstrap
0.005000,0.0105621442,0.0049001814,0.46393813,2.9905989503,2.9907869617,-1.8801143736e-04,3.2547297416,189.201811,0.988240665043,0.989434852751,0.11306300,0.011611420362,410.169663,820.338107,0.16239857,0,0,bootstrap
0.005000,0.0105621442,0.0051221205,0.48495082,2.9905888153,2.9907869617,-1.9814637021e-04,3.2536622313,189.139755,0.988263262022,0.989434852751,0.11092357,0.011783314198,389.199938,778.398591,0.16655299,0,0,bootstrap
0.005000,0.0105621442,0.0053256924,0.50422455,2.9905792406,2.9907869617,-2.0772108278e-04,3.2525718843,189.076372,0.988285373975,0.989434852751,0.10883006,0.011941463494,370.177525,740.353699,0.17048615,0,0,bootstrap
0.005000,0.0105621442,0.0055133521,0.52199175,2.9905701866,2.9907869617,-2.1677511648e-04,3.2514634761,189.011938,0.988306943040,0.989434852751,0.10678795,0.012087387550,352.873271,705.745126,0.17421598,0,0,bootstrap
0.005000,0.0105621442,0.0057369081,0.54315752,2.9905591259,2.9907869617,-2.2783581539e-04,3.2500012640,188.926938,0.988334134578,0.989434852751,0.10421351,0.012261079194,332.608018,665.214533,0.17879047,0,0,bootstrap
0.005000,0.0105621442,0.0059407708,0.56245879,2.9905487888,2.9907869617,-2.3817289627e-04,3.2485205483,188.840862,0.988360359432,0.989434852751,0.10173060,0.012419053920,314.509933,629.018275,0.18308768,0,0,bootstrap
0.005000,0.0105621442,0.0061812144,0.58522344,2.9905363022,2.9907869617,-2.5065949237e-04,3.2465745980,188.727741,0.988393053540,0.989434852751,0.09863520,0.012604521692,293.693685,587.385667,0.18831263,0,0,bootstrap
0.005000,0.0105621442,0.0063985022,0.60579576,2.9905247554,2.9907869617,-2.6220633149e-04,3.2446109888,188.613594,0.988424251368,0.989434852751,0.09568146,0.012771041218,275.424305,550.846795,0.19318339,0,0,bootstrap
0.005000,0.0105621442,0.0066527086,0.62986345,2.9905109447,2.9907869617,-2.7601699474e-04,3.2420388362,188.464071,0.988462755233,0.989434852751,0.09203600,0.012964194578,254.759229,509.516496,0.19906648,0,0,bootstrap
0.005000,0.0105621442,0.0069448792,0.65752550,2.9904946898,2.9907869617,-2.9227186652e-04,3.2386717169,188.268336,0.988509703910,0.989434852751,0.08759101,0.013183527842,232.016228,464.030301,0.20608358,0,0,bootstrap
0.005000,0.0105621442,0.0072028260,0.68194732,2.9904800184,2.9907869617,-3.0694335703e-04,3.2352865339,188.071551,0.988553576568,0.989434852751,0.08343724,0.013374406135,212.881466,425.760583,0.21251655,0,0,bootstrap
0.005000,0.0105621442,0.0074825277,0.70842885,2.9904637893,2.9907869617,-3.2317238522e-04,3.2311196459,187.829324,0.988603759487,0.989434852751,0.07868604,0.013578058648,193.171993,386.341398,0.21975854,0,0,bootstrap
0.005000,0.0105621442,0.0077303923,0.73189611,2.9904491447,2.9907869617,-3.3781698707e-04,3.2269398490,187.586347,0.988650547438,0.989434852751,0.07425626,0.013755335313,176.630402,353.257973,0.22642235,0,0,bootstrap
